"Site","Rgd_Availz","NDVI_z","Alt_z","Forest_z","Rgd_Avail","NDVI","Alt","Forest"
"AE47",-0.187868493,0.817711196,1.460081757,-0.393873091,48.2010994,0.175959,2752.129883,766
"AE48",-0.358930763,1.243626661,1.238697957,-0.458740469,46.0402985,0.199773,2646.560059,0
"AE49",0.119288371,1.194746718,1.279841552,-0.435113839,52.0810013,0.19704,2666.179932,279
"AE50",0.097240632,1.714040223,0.910469726,-0.353225125,51.8025017,0.226075,2490.040039,1246
"AE51",0.23212392,2.071294838,0.634646422,0.647222927,53.5063019,0.24605,2358.51001,13060
"AE52",0.210772582,2.122446188,0.728215935,1.155999963,53.236599,0.24891,2403.129883,19068
"AE53",0.735612475,2.198046451,0.668849214,1.577129823,59.8661995,0.253137,2374.820068,24041
"AE55",-0.200685459,2.614947832,-0.00673247,1.616846273,48.0391998,0.276447,2052.659912,24510
"AE56",-0.724559573,2.547020271,0.149140435,1.092487517,41.4217987,0.272649,2126.98999,18318
"AF19",1.477280758,-0.340366081,0.814446331,-0.34738198,69.2347031,0.111208,2444.25,1315
"AF20",1.05935459,0.043233268,1.135985139,-0.377698588,63.9556007,0.132656,2597.580078,957
"AF21",0.076023979,-0.207694505,2.008205487,-0.458740469,51.5345001,0.118626,3013.51001,0
"AF22",1.156981983,-0.278108093,1.181889048,-0.458740469,65.188797,0.114689,2619.469971,0
"AF23",0.830073452,0.3433808,1.497220708,-0.458740469,61.0593987,0.149438,2769.840088,0
"AF24",0.164824664,0.24898331,0.440796469,-0.458740469,52.6562004,0.14416,2266.070068,0
"AF25",1.432781209,0.404368947,0.442704588,-0.423681599,68.6725998,0.152848,2266.979981,414
"AF26",2.127345234,-0.48784651,-1.760127554,-0.391756009,77.4460983,0.102962,1216.530029,791
"AF27",1.001990669,-0.249223677,-0.193850761,-0.458740469,63.230999,0.116304,1963.430054,0
"AF29",-0.767467606,-0.730203749,-1.191138667,-0.458740469,40.8797989,0.0894112,1487.859985,0
"AF30",-1.263783787,-0.833715479,-1.14353578,-0.458740469,34.6105003,0.0836236,1510.560059,0
"AF33",-0.845208638,-0.788623597,-1.138419133,-0.458740469,39.8978004,0.0861448,1513,0
"AF34",-0.842991994,-0.788509133,-1.162136741,-0.458740469,39.9258003,0.0861512,1501.689941,0
"AF38",0.048585026,-0.422190355,-1.148757637,-0.458740469,51.1879005,0.106633,1508.069946,0
"AF40",-0.258342018,-0.187412816,-0.687241627,-0.110268848,47.3109016,0.11976,1728.150024,4115
"AF41",0.479240881,0.827136637,-0.200183853,-0.188939598,56.6278,0.176486,1960.410034,3186
"AF42",0.12718916,1.91453205,0.588867946,1.180050009,52.1808014,0.237285,2336.679932,19352
"AF43",-0.250544208,1.766336218,0.800438269,1.14058761,47.4094009,0.228999,2437.570068,18886
"AF44",1.1056036,0.339553391,1.716927288,-0.077581109,64.5398026,0.149224,2874.610107,4501
"AF45",-0.157603174,1.326452499,1.154753515,-0.405813431,48.5834007,0.204404,2606.530029,625
"AF46",-0.205894568,0.74252229,1.562878539,-0.458740469,47.9734001,0.171755,2801.149902,0
"AF47",0.036274509,0.292766003,1.881838032,-0.448409111,51.0323982,0.146608,2953.25,122
"AF48",-0.398094063,0.717214891,1.667562962,-0.458740469,45.5456009,0.17034,2851.070068,0
"AF49",0.056976558,0.911715214,1.584268724,-0.458655786,51.2938995,0.181215,2811.350098,1
"AF50",0.788440136,1.756302684,0.942533499,-0.240511704,60.5335007,0.228438,2505.330078,2577
"AF51",1.251752198,1.057568099,1.32949975,0.269704947,66.3859024,0.18937,2689.860107,8602
"AF52",1.296765742,1.097469729,1.171739206,0.328644497,66.9544983,0.191601,2614.629883,9298
"AF53",1.672615265,0.574688632,1.318259408,0.464899865,71.7021027,0.162371,2684.5,10907
"AF54",0.428020435,2.678690283,0.412884787,1.09697573,55.9808006,0.280011,2252.76001,18371
"AF55",-0.148768312,2.754827098,0.27582224,1.353904746,48.6949997,0.284268,2187.399902,21405
"AG19",1.057636542,0.159146517,1.405936637,-0.311137544,63.9338989,0.139137,2726.310059,1743
"AG20",2.216707935,-0.306044599,0.462102177,-0.207908648,78.5748978,0.113127,2276.229981,2962
"AG21",3.262302938,-1.113702941,2.412514273,-0.404712548,91.7825012,0.0679688,3206.310059,638
"AG22",0.705988592,-0.242820816,1.927846895,-0.458740469,59.4920006,0.116662,2975.189941,0
"AG23",-0.222654072,-0.087900191,1.69320968,-0.458740469,47.7616997,0.125324,2863.300049,0
