"Site","Rgd_Availz","NDVI_z","Alt_z","Forest_z"
"V23",0.876448985,0.313351739,1.077834351,-0.458740469
"V24",-0.460746219,0.023327166,-0.117938134,-0.458740469
"V25",-0.504833843,-0.561057325,-0.892793209,-0.458740469
"V36",-0.74309239,0.112520095,-0.07587171,-0.407337729
"V37",-0.816407988,0.119066037,-0.139642413,-0.450780243
"V45",-0.637603475,1.46402459,0.028896164,3.213041071
"W12",0.688009929,-0.093373028,1.038913226,-0.067080384
"W13",0.527785646,0.233333859,1.202503083,-0.263206818
"W14",0.054712509,-0.170386213,1.392326889,-0.458740469
"W15",0.280573559,-0.45923037,0.615122887,-0.458740469
"W16",0.873781166,-0.243893921,1.58936438,-0.458740469
"W17",-0.168322174,-0.64736539,0.87043711,-0.458740469
"W18",1.62625543,-0.773653779,1.104130762,-0.458740469
"W19",0.151397976,-0.127157957,1.211394498,-0.458740469
"W20",0.788384569,-0.75268888,1.794748035,-0.458740469
"W21",0.433443355,-0.388727357,0.330660058,-0.458740469
"W22",2.413182775,-0.513797771,-1.418373538,-0.377783271
"W23",1.496779355,0.192233929,-0.742016216,-0.238733356
"W24",-0.798468893,-0.183996764,-0.029715911,-0.458740469
"W25",-0.494518606,-0.706185865,-0.782069567,-0.458740469
"X12",0.878095768,0.8237027,0.798425196,0.137429692
"X13",1.353069058,1.936298201,0.797544092,1.159726027
"X14",1.379494218,0.434541089,1.406376933,-0.305379083
"X15",-0.608399061,-0.185677963,0.670799315,-0.458740469
"X16",0.491772762,0.073423295,1.389327758,-0.458740469
"X17",0.744439484,-0.551749926,1.706735464,-0.458740469
"X18",-0.244575279,-0.414732274,0.566052432,-0.458740469
"X19",1.194134598,-0.541600139,1.452343815,-0.458740469
"X20",0.728994257,-0.109845193,0.682668358,-0.458740469
"X21",0.433118711,-0.669931005,-0.744071272,-0.458740469
"X22",0.590366537,-0.954534608,-1.505861849,-0.458740469
"X24",-0.521419103,-0.49399898,-0.693847344,-0.458740469
"X25",-0.615682267,-0.550011496,-0.831370921,-0.458740469
"X26",-0.699883273,-0.952912431,-1.319309543,-0.458740469
