Site,Alt_z,Alt_z2,Rgd_z,Rgd2_z,Available_z,Rgd_Availz,Forest_z,NDVI_z,ForestXNDVI,Altitude,Rugged,Rgd^2,Available,Rgd_Avail,Forest_Cov,NDVI
AD20,2.044819666,4.181287468,0.682262004,0.465481442,1.04852959,0.037564933,-0.458740469,-0.234700986,0.107666841,3030.969971,39.5973015,1567.946286,44682,51.0486984,0,0.117116
AD21,1.91786498,3.678206082,1.228753069,1.509834104,1.167182017,0.963634602,-0.458740469,-0.320370554,0.146966938,2970.429932,48.7778015,2379.273919,46921,62.7464981,0,0.112326
AD22,1.286363562,1.654731212,2.203704123,4.85631186,1.863622484,1.549836226,-0.458740469,0.423935232,-0.194476247,2669.290039,65.1559982,4245.304101,60063,70.1511993,0,0.153942
AD23,-0.246297671,0.060662543,1.201459773,1.443505587,1.199455054,0.872973631,-0.458740469,-0.198269064,0.090954043,1938.420044,48.3193016,2334.754907,47530,61.6012993,0,0.119153
AD24,-1.404050869,1.971358843,-0.851562106,0.72515802,-0.813979666,0.920212274,-0.458740469,-1.187464617,0.544738076,1386.329956,13.8305998,191.2854908,9536,62.1980019,0,0.0638446
AD25,-1.432297892,2.051477252,-0.768592862,0.590734988,-0.869410859,1.115403933,-0.458740469,-1.251886701,0.574291093,1372.859985,15.2243996,231.7823432,8490,64.6635971,0,0.0602426
AD26,-0.186888712,0.034927391,0.294238639,0.086576377,0.070481709,0.889155119,-0.458740469,-0.310462216,0.142421582,1966.75,33.0788994,1094.213586,26226,61.8056984,0,0.11288
AD27,-0.889438002,0.791099959,-1.189593649,1.41513305,-1.243491916,-0.831101247,-0.458740469,-0.448803365,0.205884266,1631.729981,8.15201,66.45526704,1431,40.0760002,0,0.105145
AD35,-0.940018518,0.883634813,-1.000142397,1.000284815,-1.025635672,-0.648955765,-0.458740469,-0.25496479,0.116962667,1607.609985,11.3346004,128.4731662,5542,42.3768005,0,0.115983
AD39,-0.120223832,0.01445377,-0.604904505,0.36590946,-0.568089865,-0.218711535,-0.458740469,0.580966297,-0.266512752,1998.540039,17.9741993,323.0718405,14176,47.8115005,0,0.162722
AD40,0.220733044,0.048723077,0.183946409,0.033836281,0.512394435,-0.2719034,-0.457808953,0.930941683,-0.426193437,2161.129883,31.2261009,975.0693774,34565,47.1395988,11,0.18229
AD41,0.020885852,0.000436219,0.731681643,0.535358026,0.944026424,0.440639597,-0.078343258,1.099007846,-0.086099855,2065.830078,40.4275017,1634.382894,42710,56.1402016,4492,0.191687
AD42,0.498716357,0.248718005,0.816817611,0.667191009,1.287689217,0.136665157,0.721744198,1.889475042,1.363717648,2293.689941,41.8577003,1752.067074,49195,52.300499,13940,0.235884
AD43,1.050383956,1.103306454,0.873416126,0.762855729,1.438932642,0.071764944,2.681230188,1.515623066,4.063734318,2556.76001,42.8084984,1832.567535,52049,51.4807014,37079,0.214981
AD44,1.421391532,2.020353887,0.494822212,0.244849022,1.027014232,-0.227277311,-0.046925768,0.92836623,-0.043564298,2733.679932,36.4485016,1328.493269,44276,47.7033005,4863,0.182146
AD45,1.20841687,1.460271331,0.975696103,0.951982885,1.268876528,0.513266338,0.66339743,0.89236355,0.591991686,2632.120117,44.5266991,1982.626933,48840,57.0575981,13251,0.180133
AD46,1.468469904,2.15640386,1.353278378,1.831362369,1.387952903,1.026769647,0.308405198,0.268156123,0.082700742,2756.129883,50.8697014,2587.726521,51087,63.5439987,9059,0.145232
AD48,1.032391216,1.065831624,0.444652529,0.197715872,1.07099883,-0.203844323,-0.458740469,1.352403761,-0.620402336,2548.179932,35.6057014,1267.765972,45106,47.9992981,0,0.205855
AD49,0.818682387,0.67024085,0.732937617,0.53719755,1.22717065,0.206355301,-0.242036003,1.771630203,-0.428798293,2446.27002,40.4486008,1636.089307,48053,53.1808014,2559,0.229295
AD50,0.71028668,0.504507168,0.459183084,0.210849104,1.037824904,-0.082712067,0.278681373,1.913387404,0.533225428,2394.580078,35.8498001,1285.208167,44480,49.5293999,8708,0.237221
AD51,0.337705815,0.114045217,-0.043680332,0.001907971,0.355480706,-0.083020704,0.443390317,1.997304233,0.885585356,2216.909912,27.4022007,750.8806032,31604,49.5255013,10653,0.241913
AD52,0.44197042,0.195337852,-0.018863447,0.00035583,0.510592656,-0.405076485,0.875952417,1.930378237,1.690919482,2266.629883,27.8190994,773.9022914,34531,45.4574013,15761,0.238171
AD53,0.35012062,0.122584449,0.212001553,0.044944659,0.595541223,0.081882377,0.898054748,2.217720047,1.991634018,2222.830078,31.6973991,1004.72511,36134,51.6085014,16022,0.254237
AD54,0.26923777,0.072488977,0.016972104,0.000288052,0.415734306,-0.24852567,1.361272189,2.448884798,3.33359877,2184.26001,28.4211006,807.7589593,32741,47.4348984,21492,0.267162
AD55,-0.125026128,0.015631533,-0.112321407,0.012616099,0.336985978,-0.592217573,0.819553365,2.445379321,2.00411885,1996.25,26.2490997,689.0152351,31255,43.0934982,15095,0.266966
AD56,0.283623667,0.080442385,0.179315137,0.032153918,0.94699406,-0.716698343,2.386447754,2.713083305,6.474631561,2191.120117,31.1483002,970.2166053,42766,41.5210991,33598,0.281934
AE19,0.780117594,0.608583461,1.549933032,2.402292402,1.443967024,1.167424361,-0.317065373,-0.136958985,0.043424952,2427.879883,54.1733017,2934.746617,52144,65.3207016,1673,0.122581
AE20,1.470986758,2.163802042,1.063528863,1.131093643,1.38016286,0.384312721,-0.378376054,0.101127295,-0.038264147,2757.330078,46.0022011,2116.202506,50940,55.4286995,949,0.135893
